state,county,current_votes,trump_votes,percent_trump_votes
Mississippi,Bolivar County,13755,4671,33.96%
Mississippi,Calhoun County,6595,4625,70.13%
Mississippi,Carroll County,5705,3924,68.78%
Mississippi,Chickasaw County,8148,4175,51.24%
Mississippi,Choctaw County,4225,3001,71.03%
Mississippi,Claiborne County,4453,603,13.54%
Mississippi,Clarke County,8347,5417,64.90%
Mississippi,Clay County,10206,4181,40.97%
Mississippi,Coahoma County,8507,2375,27.92%
Mississippi,Copiah County,12897,6250,48.46%
Mississippi,Covington County,9371,5854,62.47%
Mississippi,DeSoto County,76248,46462,60.94%
Mississippi,Forrest County,31725,17290,54.50%
Mississippi,Franklin County,4464,2923,65.48%
Mississippi,George County,11064,9713,87.79%
Mississippi,Greene County,5816,4794,82.43%
Mississippi,Grenada County,10919,6081,55.69%
Mississippi,Hancock County,20957,16132,76.98%
Mississippi,Harrison County,75865,46822,61.72%
Mississippi,Hinds County,100191,25141,25.09%
Mississippi,Holmes County,8115,1369,16.87%
Mississippi,Humphreys County,4189,1118,26.69%
Mississippi,Issaquena County,676,308,45.56%
Mississippi,Itawamba County,10826,9438,87.18%
Mississippi,Jackson County,54623,36295,66.45%
Mississippi,Jasper County,8742,4302,49.21%
Mississippi,Jefferson County,3911,531,13.58%
Mississippi,Jefferson Davis County,6213,2534,40.79%
Mississippi,Jones County,30091,21226,70.54%
Mississippi,Kemper County,4732,1787,37.76%
Mississippi,Lafayette County,23481,12949,55.15%
Mississippi,Lamar County,28526,20704,72.58%
Mississippi,Lauderdale County,31266,17967,57.46%
Mississippi,Lawrence County,6617,4285,64.76%
Mississippi,Leake County,9204,5228,56.80%
Mississippi,Lee County,37003,24207,65.42%
Mississippi,Leflore County,10893,3129,28.72%
Mississippi,Lincoln County,16818,11596,68.95%
Mississippi,Lowndes County,27273,13800,50.60%
Mississippi,Madison County,56335,31091,55.19%
Mississippi,Marion County,12194,8273,67.84%
Mississippi,Marshall County,15830,7566,47.80%
Mississippi,Monroe County,17279,11177,64.69%
Mississippi,Montgomery County,5078,2917,57.44%
Mississippi,Neshoba County,11720,8320,70.99%
Mississippi,Newton County,10189,6997,68.67%
Mississippi,Noxubee County,5341,1240,23.22%
Mississippi,Oktibbeha County,19812,9004,45.45%
Mississippi,Panola County,15635,8060,51.55%
Mississippi,Pearl River County,24056,19595,81.46%
Mississippi,Perry County,5922,4500,75.99%
Mississippi,Pike County,17360,8479,48.84%
Mississippi,Pontotoc County,14377,11550,80.34%
Mississippi,Prentiss County,10661,8370,78.51%
Mississippi,Quitman County,3229,1026,31.77%
Mississippi,Rankin County,70655,50895,72.03%
Mississippi,Scott County,10744,6285,58.50%
Mississippi,Sharkey County,2183,688,31.52%
Mississippi,Simpson County,11820,7635,64.59%
Mississippi,Smith County,8327,6458,77.55%
Mississippi,Stone County,7878,5964,75.70%
Mississippi,Sunflower County,9683,2799,28.91%
Mississippi,Tallahatchie County,5691,2488,43.72%
Mississippi,Tate County,13101,8707,66.46%
Mississippi,Tippah County,10102,8054,79.73%
Mississippi,Tishomingo County,9147,7933,86.73%
Mississippi,Tunica County,3565,926,25.97%
Mississippi,Union County,12683,10373,81.79%
Mississippi,Walthall County,7122,4220,59.25%
Mississippi,Warren County,21056,10365,49.23%
Mississippi,Washington County,18025,5300,29.40%
Mississippi,Wayne County,10065,6307,62.66%
Mississippi,Webster County,5402,4291,79.43%
Mississippi,Wilkinson County,4130,1324,32.06%
Mississippi,Winston County,9244,5112,55.30%
Mississippi,Yalobusha County,6538,3671,56.15%
Mississippi,Yazoo County,10441,4832,46.28%
Missouri,Adair County,10336,6413,62.05%
Missouri,Andrew County,9752,7255,74.39%
Missouri,Atchison County,2814,2199,78.14%
Missouri,Audrain County,10656,7732,72.56%
Missouri,Barry County,15598,12425,79.66%
Missouri,Barton County,6077,5168,85.04%
Missouri,Bates County,8416,6597,78.39%
Missouri,Benton County,10476,8109,77.41%
Missouri,Bollinger County,5983,5167,86.36%
Missouri,Boone County,91168,38646,42.39%
Missouri,Buchanan County,36598,22450,61.34%
Missouri,Butler County,18141,14602,80.49%
Missouri,Caldwell County,4682,3725,79.56%
Missouri,Callaway County,21144,14815,70.07%
Missouri,Camden County,24812,18850,75.97%
Missouri,Cape Girardeau County,40328,28907,71.68%
Missouri,Carroll County,4532,3706,81.77%
Missouri,Carter County,2897,2451,84.60%
Missouri,Cass County,57408,37197,64.79%
Missouri,Cedar County,7044,5788,82.17%
Missouri,Chariton County,4077,3111,76.31%
Missouri,Christian County,46839,34920,74.55%
Missouri,Clark County,3394,2672,78.73%
Missouri,Clay County,126569,64605,51.04%
Missouri,Clinton County,10888,7799,71.63%
Missouri,Cole County,39529,26086,65.99%
Missouri,Cooper County,8693,6272,72.15%
Missouri,Crawford County,10973,8725,79.51%
Missouri,Dade County,4119,3414,82.88%
Missouri,Dallas County,8104,6619,81.68%
Missouri,Daviess County,3911,3102,79.31%
Missouri,DeKalb County,4843,3828,79.04%
Missouri,Dent County,7142,5987,83.83%
Missouri,Douglas County,7000,5898,84.26%
Missouri,Dunklin County,10419,8135,78.08%
Missouri,Franklin County,53685,38058,70.89%
Missouri,Gasconade County,7923,6222,78.53%
Missouri,Gentry County,3237,2581,79.73%
Missouri,Greene County,141800,83630,58.98%
Missouri,Grundy County,4437,3585,80.80%
Missouri,Harrison County,3826,3198,83.59%
Missouri,Henry County,10788,8027,74.41%
Missouri,Hickory County,5080,3966,78.07%
Missouri,Holt County,2343,1976,84.34%
Missouri,Howard County,5092,3553,69.78%
Missouri,Howell County,18650,15181,81.40%
Missouri,Iron County,4592,3596,78.31%
Missouri,Jackson County,333063,126535,37.99%
Missouri,Jasper County,52352,37728,72.07%
Missouri,Jefferson County,116688,77046,66.03%
Missouri,Johnson County,23123,15489,66.99%
Missouri,Knox County,1854,1486,80.15%
Missouri,Laclede County,16793,13762,81.95%
Missouri,Lafayette County,17055,12273,71.96%
Missouri,Lawrence County,17905,14426,80.57%
Missouri,Lewis County,4609,3553,77.09%
Missouri,Lincoln County,29018,21848,75.29%
Missouri,Linn County,5726,4363,76.20%
Missouri,Livingston County,6758,5267,77.94%
Missouri,McDonald County,9053,7465,82.46%
Missouri,Macon County,7836,6076,77.54%
Missouri,Madison County,5676,4584,80.76%
Missouri,Maries County,4771,3892,81.58%
Missouri,Marion County,13348,9915,74.28%
Missouri,Mercer County,1779,1541,86.62%
Missouri,Miller County,12382,10176,82.18%
Missouri,Mississippi County,4756,3537,74.37%
Missouri,Moniteau County,7157,5744,80.26%
Missouri,Monroe County,4483,3477,77.56%
Missouri,Montgomery County,5772,4465,77.36%
Missouri,Morgan County,9487,7442,78.44%
Missouri,New Madrid County,7250,5447,75.13%
Missouri,Newton County,28405,22120,77.87%
Missouri,Nodaway County,9893,6865,69.39%
Missouri,Oregon County,4739,3847,81.18%
Missouri,Osage County,7539,6425,85.22%
Missouri,Ozark County,4864,4064,83.55%
Missouri,Pemiscot County,5735,4120,71.84%
Missouri,Perry County,9447,7657,81.05%
Missouri,Pettis County,19097,13854,72.55%
Missouri,Phelps County,19568,13480,68.89%
Missouri,Pike County,7695,5863,76.19%
Missouri,Platte County,57270,28917,50.49%
Missouri,Polk County,15064,11850,78.66%
Missouri,Pulaski County,14414,10329,71.66%
Missouri,Putnam County,2361,1984,84.03%
Missouri,Ralls County,5662,4396,77.64%
Missouri,Randolph County,10744,8018,74.63%
Missouri,Ray County,11649,8345,71.64%
Missouri,Reynolds County,3298,2733,82.87%
Missouri,Ripley County,5717,4839,84.64%
Missouri,St. Charles County,222017,128389,57.83%
Missouri,St. Clair County,4974,3932,79.05%
Missouri,Ste. Genevieve County,9484,6630,69.91%
Missouri,St. Francois County,28001,20511,73.25%
Missouri,St. Louis County,536446,199493,37.19%
Missouri,Saline County,9519,6451,67.77%
Missouri,Schuyler County,2003,1606,80.18%
Missouri,Scotland County,1984,1560,78.63%
Missouri,Scott County,17719,13769,77.71%
Missouri,Shannon County,3906,3165,81.03%
Missouri,Shelby County,3350,2700,80.60%
Missouri,Stoddard County,13426,11484,85.54%
Missouri,Stone County,18483,14800,80.07%
Missouri,Sullivan County,2471,1974,79.89%
Missouri,Taney County,26288,20508,78.01%
Missouri,Texas County,11315,9478,83.76%
Missouri,Vernon County,9185,7155,77.90%
Missouri,Warren County,18375,13222,71.96%
Missouri,Washington County,9976,8047,80.66%
Missouri,Wayne County,5878,4987,84.84%
Missouri,Webster County,18779,14880,79.24%
Missouri,Worth County,1107,877,79.22%
Missouri,Wright County,8739,7453,85.28%
Missouri,St. Louis city,133867,21474,16.04%
Montana,Beaverhead County,5661,3923,69.30%
Montana,Big Horn County,4784,2207,46.13%
Montana,Blaine County,3117,1469,47.13%
Montana,Broadwater County,4097,3173,77.45%
Montana,Carbon County,7101,4468,62.92%
Montana,Carter County,864,775,89.70%
Montana,Cascade County,39885,23315,58.46%
Montana,Chouteau County,2974,1891,63.58%
Montana,Custer County,5883,4205,71.48%
Montana,Daniels County,1014,799,78.80%
Montana,Dawson County,4837,3758,77.69%
Montana,Deer Lodge County,4891,2186,44.69%
Montana,Fallon County,1575,1375,87.30%
Montana,Fergus County,6531,4869,74.55%
Montana,Flathead County,60258,38321,63.59%
Montana,Gallatin County,71507,31696,44.33%
Montana,Garfield County,813,764,93.97%
Montana,Glacier County,5639,1884,33.41%
Montana,Golden Valley County,503,414,82.31%
Montana,Granite County,2102,1419,67.51%
Montana,Hill County,7182,3957,55.10%
Montana,Jefferson County,8191,5345,65.25%
Montana,Judith Basin County,1344,1040,77.38%
Montana,Lake County,16626,9322,56.07%
Montana,Lewis and Clark County,42485,21409,50.39%
Montana,Liberty County,1083,821,75.81%
Montana,Lincoln County,11747,8672,73.82%
Montana,McCone County,1128,956,84.75%
Montana,Madison County,6113,4191,68.56%
Montana,Meagher County,1110,833,75.05%
Montana,Mineral County,2563,1828,71.32%
Montana,Missoula County,71986,26347,36.60%
Montana,Musselshell County,2881,2423,84.10%
Montana,Park County,11618,6025,51.86%
Montana,Petroleum County,351,298,84.90%
Montana,Phillips County,2386,1936,81.14%
Montana,Pondera County,2995,2031,67.81%
Montana,Powder River County,1136,970,85.39%
Montana,Powell County,3195,2355,73.71%
Montana,Prairie County,744,603,81.05%
Montana,Ravalli County,28507,19114,67.05%
Montana,Richland County,5798,4800,82.79%
Montana,Roosevelt County,4028,1996,49.55%
Montana,Rosebud County,3784,2486,65.70%
Montana,Sanders County,7652,5660,73.97%
Montana,Sheridan County,2030,1403,69.11%
Montana,Silver Bow County,18827,7745,41.14%
Montana,Stillwater County,5741,4462,77.72%
Montana,Sweet Grass County,2446,1840,75.22%
Montana,Teton County,3695,2608,70.58%
Montana,Toole County,2123,1596,75.18%
Montana,Treasure County,460,373,81.09%
Montana,Valley County,4272,3135,73.38%
Montana,Wheatland County,1068,823,77.06%
Montana,Wibaux County,598,516,86.29%
Montana,Yellowstone County,83821,50772,60.57%
Nebraska,Adams County,14653,10085,68.83%
Nebraska,Antelope County,3583,3093,86.32%
Nebraska,Arthur County,285,260,91.23%
Nebraska,Banner County,411,362,88.08%
Nebraska,Blaine County,317,280,88.33%
Nebraska,Boone County,3226,2653,82.24%
Nebraska,Box Butte County,5200,4002,76.96%
Nebraska,Boyd County,1155,1010,87.45%
Nebraska,Brown County,1684,1470,87.29%
Nebraska,Buffalo County,23711,16640,70.18%
Nebraska,Burt County,3739,2580,69.00%
Nebraska,Butler County,4518,3542,78.40%
Nebraska,Cass County,15326,10121,66.04%
Nebraska,Cedar County,5015,4174,83.23%
Nebraska,Chase County,2000,1740,87.00%
Nebraska,Cherry County,3269,2844,87.00%
Nebraska,Cheyenne County,4776,3813,79.84%
Nebraska,Clay County,3570,2848,79.78%
Nebraska,Colfax County,3726,2636,70.75%
Nebraska,Cuming County,4459,3507,78.65%
Nebraska,Custer County,6010,5090,84.69%
Nebraska,Dakota County,6817,3926,57.59%
Nebraska,Dawes County,4151,2931,70.61%
Nebraska,Dawson County,9191,6524,70.98%
Nebraska,Deuel County,1034,871,84.24%
Nebraska,Dixon County,3094,2335,75.47%
Nebraska,Dodge County,16938,10984,64.85%
Nebraska,Douglas County,276540,119159,43.09%
Nebraska,Dundy County,1003,883,88.04%
Nebraska,Fillmore County,3148,2359,74.94%
Nebraska,Franklin County,1728,1437,83.16%
Nebraska,Frontier County,1446,1229,84.99%
Nebraska,Furnas County,2602,2163,83.13%
Nebraska,Gage County,11119,7445,66.96%
Nebraska,Garden County,1200,1016,84.67%
Nebraska,Garfield County,1076,933,86.71%
Nebraska,Gosper County,1121,893,79.66%
Nebraska,Grant County,402,375,93.28%
Nebraska,Greeley County,1259,1016,80.70%
Nebraska,Hall County,24450,16189,66.21%
Nebraska,Hamilton County,5566,4309,77.42%
Nebraska,Harlan County,1934,1615,83.51%
Nebraska,Hayes County,536,494,92.16%
Nebraska,Hitchcock County,1470,1264,85.99%
Nebraska,Holt County,5550,4769,85.93%
Nebraska,Hooker County,442,376,85.07%
Nebraska,Howard County,3511,2786,79.35%
Nebraska,Jefferson County,3730,2616,70.13%
Nebraska,Johnson County,2233,1518,67.98%
Nebraska,Kearney County,3617,2822,78.02%
Nebraska,Keith County,4369,3544,81.12%
Nebraska,Keya Paha County,530,476,89.81%
Nebraska,Kimball County,1877,1563,83.27%
Nebraska,Knox County,4708,3721,79.04%
Nebraska,Lancaster County,157215,70092,44.58%
Nebraska,Lincoln County,17163,13071,76.16%
Nebraska,Logan County,450,407,90.44%
Nebraska,Loup County,454,370,81.50%
Nebraska,McPherson County,302,275,91.06%
Nebraska,Madison County,15819,11940,75.48%
Nebraska,Merrick County,4282,3419,79.85%
Nebraska,Morrill County,2558,2113,82.60%
Nebraska,Nance County,1832,1437,78.44%
Nebraska,Nemaha County,3432,2428,70.75%
Nebraska,Nuckolls County,2305,1857,80.56%
Nebraska,Otoe County,8355,5649,67.61%
Nebraska,Pawnee County,1429,1071,74.95%
Nebraska,Perkins County,1545,1321,85.50%
Nebraska,Phelps County,5021,4157,82.79%
Nebraska,Pierce County,4012,3462,86.29%
Nebraska,Platte County,15721,12186,77.51%
Nebraska,Polk County,2887,2291,79.36%
Nebraska,Red Willow County,5470,4525,82.72%
Nebraska,Richardson County,4134,3073,74.33%
Nebraska,Rock County,842,744,88.36%
Nebraska,Saline County,5780,3631,62.82%
Nebraska,Sarpy County,96193,51979,54.04%
Nebraska,Saunders County,12786,9108,71.23%
Nebraska,Scotts Bluff County,15524,10952,70.55%
Nebraska,Seward County,9199,6490,70.55%
Nebraska,Sheridan County,2684,2292,85.39%
Nebraska,Sherman County,1700,1322,77.76%
Nebraska,Sioux County,731,642,87.82%
Nebraska,Stanton County,3165,2561,80.92%
Nebraska,Thayer County,2989,2308,77.22%
Nebraska,Thomas County,427,377,88.29%
Nebraska,Thurston County,2379,1180,49.60%
Nebraska,Valley County,2344,1901,81.10%
Nebraska,Washington County,12467,8583,68.85%
Nebraska,Wayne County,4218,3055,72.43%
Nebraska,Webster County,1876,1511,80.54%
Nebraska,Wheeler County,503,438,87.08%
Nebraska,York County,7161,5337,74.53%
Nevada,Churchill County,12890,9372,72.71%
Nevada,Clark County,972510,430930,44.31%
Nevada,Douglas County,34125,21630,63.38%
Nevada,Elko County,21967,16741,76.21%
Nevada,Esmeralda County,487,400,82.14%
Nevada,Eureka County,1017,895,88.00%
Nevada,Humboldt County,7771,5877,75.63%
Nevada,Lander County,2765,2198,79.49%
Nevada,Lincoln County,2446,2067,84.51%
Nevada,Lyon County,30238,20914,69.16%
Nevada,Mineral County,2335,1423,60.94%
Nevada,Nye County,25378,17528,69.07%
Nevada,Pershing County,2320,1731,74.61%
Nevada,Storey County,2877,1908,66.32%
Nevada,Washoe County,252142,116760,46.31%
Nevada,White Pine County,4369,3403,77.89%
Nevada,Carson City,29739,16113,54.18%
New Hampshire,Alton,3903,2420,62.00%
New Hampshire,Barnstead,2922,1698,58.11%
New Hampshire,Belmont,4052,2365,58.37%
New Hampshire,Center Harbor,792,407,51.39%
New Hampshire,Gilford,5313,2748,51.72%
New Hampshire,Gilmanton,2500,1423,56.92%
New Hampshire,Laconia,8955,4642,51.84%
New Hampshire,Meredith,4407,2208,50.10%
New Hampshire,New Hampton,1539,810,52.63%
New Hampshire,Sanbornton,2045,1134,55.45%
New Hampshire,Tilton,2025,1044,51.56%
New Hampshire,Albany,449,190,42.32%
New Hampshire,Bartlett,2170,773,35.62%
New Hampshire,Brookfield,545,315,57.80%
New Hampshire,Chatham,244,130,53.28%
New Hampshire,Conway,5966,2465,41.32%
New Hampshire,Eaton,309,117,37.86%
New Hampshire,Effingham,926,526,56.80%
New Hampshire,Freedom,1090,538,49.36%
New Hampshire,Harts Location,43,20,46.51%
New Hampshire,Jackson,786,212,26.97%
New Hampshire,Madison,1703,760,44.63%
New Hampshire,Moultonborough,3664,1997,54.50%
New Hampshire,Ossipee,2519,1487,59.03%
New Hampshire,Sandwich,1143,413,36.13%
New Hampshire,Tamworth,1768,838,47.40%
New Hampshire,Tuftonboro,1900,1012,53.26%
New Hampshire,Wakefield,3270,1986,60.73%
New Hampshire,Wolfeboro,4777,2371,49.63%
New Hampshire,Alstead,1189,477,40.12%
New Hampshire,Chesterfield,2392,958,40.05%
New Hampshire,Dublin,1109,404,36.43%
New Hampshire,Fitzwilliam,1367,682,49.89%
New Hampshire,Gilsum,516,263,50.97%
New Hampshire,Harrisville,760,201,26.45%
New Hampshire,Hinsdale,1915,829,43.29%
New Hampshire,Jaffrey,3018,1410,46.72%
New Hampshire,Keene,12929,3758,29.07%
New Hampshire,Marlborough,1273,441,34.64%
New Hampshire,Marlow,496,207,41.73%
New Hampshire,Nelson,451,164,36.36%
New Hampshire,Richmond,719,413,57.44%
New Hampshire,Rindge,3658,2144,58.61%
New Hampshire,Roxbury,144,52,36.11%
New Hampshire,Stoddard,849,430,50.65%
New Hampshire,Sullivan,412,186,45.15%
New Hampshire,Surry,563,252,44.76%
New Hampshire,Swanzey,3830,1763,46.03%
New Hampshire,Troy,1117,583,52.19%
New Hampshire,Walpole,2347,834,35.53%
New Hampshire,Westmoreland,1133,453,39.98%
New Hampshire,Winchester,2019,988,48.94%
New Hampshire,Berlin,4065,1852,45.56%
New Hampshire,Carroll,538,267,49.63%
New Hampshire,Clarksville,183,108,59.02%
New Hampshire,Colebrook,1074,630,58.66%
New Hampshire,Columbia,351,235,66.95%
New Hampshire,Dalton,528,295,55.87%
New Hampshire,Dixville,5,0,0.00%
New Hampshire,Dummer,184,113,61.41%
New Hampshire,Errol,223,148,66.37%
New Hampshire,Gorham,1686,748,44.37%
New Hampshire,Jefferson,662,394,59.52%
New Hampshire,Lancaster,1735,874,50.37%
New Hampshire,Milan,794,437,55.04%
New Hampshire,Millsfield,21,16,76.19%
New Hampshire,Northumberland,1056,614,58.14%
New Hampshire,Pittsburg,545,380,69.72%
New Hampshire,Randolph,277,83,29.96%
New Hampshire,Shelburne,254,122,48.03%
New Hampshire,Stark,295,188,63.73%
New Hampshire,Stewartstown,413,291,70.46%
New Hampshire,Stratford,300,140,46.67%
New Hampshire,Wentworth's Location,18,13,72.22%
New Hampshire,Whitefield,1321,669,50.64%
New Hampshire,Alexandria,1080,616,57.04%
New Hampshire,Ashland,1218,562,46.14%
New Hampshire,Bath,623,353,56.66%
New Hampshire,Benton,235,143,60.85%
New Hampshire,Bethlehem,1671,620,37.10%
New Hampshire,Bridgewater,857,472,55.08%
New Hampshire,Bristol,1871,994,53.13%
New Hampshire,Campton,2129,964,45.28%
New Hampshire,Canaan,2086,890,42.67%
New Hampshire,Dorchester,233,124,53.22%
New Hampshire,Easton,234,64,27.35%
New Hampshire,Ellsworth,78,32,41.03%
New Hampshire,Enfield,2765,930,33.63%
New Hampshire,Franconia,801,248,30.96%
New Hampshire,Grafton,784,423,53.95%
New Hampshire,Groton,380,232,61.05%
New Hampshire,Hanover,7117,841,11.82%
New Hampshire,Haverhill,2144,1180,55.04%
New Hampshire,Hebron,523,267,51.05%
New Hampshire,Holderness,1481,569,38.42%
New Hampshire,Landaff,285,155,54.39%
New Hampshire,Lebanon,7949,1954,24.58%
New Hampshire,Lincoln,923,397,43.01%
New Hampshire,Lisbon,797,431,54.08%
New Hampshire,Littleton,3115,1507,48.38%
New Hampshire,Lyman,385,208,54.03%
New Hampshire,Lyme,1305,218,16.70%
New Hampshire,Monroe,544,309,56.80%
New Hampshire,Orange,196,110,56.12%
New Hampshire,Orford,823,269,32.69%
New Hampshire,Piermont,440,194,44.09%
New Hampshire,Plymouth,3415,1123,32.88%
New Hampshire,Rumney,956,527,55.13%
New Hampshire,Sugar Hill,485,153,31.55%
New Hampshire,Thornton,1731,737,42.58%
New Hampshire,Warren,478,275,57.53%
New Hampshire,Waterville,374,127,33.96%
New Hampshire,Wentworth,620,323,52.10%
New Hampshire,Woodstock,858,364,42.42%
New Hampshire,Amherst,8137,3208,39.42%
New Hampshire,Antrim,1584,779,49.18%
New Hampshire,Bedford,14739,7052,47.85%
New Hampshire,Bennington,837,424,50.66%
New Hampshire,Brookline,3628,1647,45.40%
New Hampshire,Deering,1158,670,57.86%
New Hampshire,Francestown,1152,534,46.35%
New Hampshire,Goffstown,10196,5040,49.43%
New Hampshire,Greenfield,1010,466,46.14%
New Hampshire,Greenville,1054,532,50.47%
New Hampshire,Hancock,1298,408,31.43%
New Hampshire,Hillsborough,3276,1722,52.56%
New Hampshire,Hollis,5825,2468,42.37%
New Hampshire,Hudson,14641,7744,52.89%
New Hampshire,Litchfield,5410,2824,52.20%
New Hampshire,Lyndeborough,1138,541,47.54%
New Hampshire,Manchester,52606,22127,42.06%
New Hampshire,Mason,949,535,56.38%
New Hampshire,Merrimack,16697,7669,45.93%
New Hampshire,Milford,8961,4123,46.01%
New Hampshire,Mont Vernon,1778,730,41.06%
New Hampshire,Nashua,45281,17806,39.32%
New Hampshire,New Boston,3934,2036,51.75%
New Hampshire,New Ipswich,3123,2099,67.21%
New Hampshire,Pelham,8854,5253,59.33%
New Hampshire,Peterborough,4400,1246,28.32%
New Hampshire,Sharon,273,116,42.49%
New Hampshire,Temple,961,432,44.95%
New Hampshire,Weare,5538,3213,58.02%
New Hampshire,Wilton,2473,1090,44.08%
New Hampshire,Windsor,129,91,70.54%
New Hampshire,Allenstown,2325,1233,53.03%
New Hampshire,Andover,1595,726,45.52%
New Hampshire,Boscawen,2040,1064,52.16%
New Hampshire,Bow,5512,2167,39.31%
New Hampshire,Bradford,1073,478,44.55%
New Hampshire,Canterbury,1754,718,40.94%
New Hampshire,Chichester,1736,930,53.57%
New Hampshire,Concord,23875,7983,33.44%
New Hampshire,Danbury,725,414,57.10%
New Hampshire,Dunbarton,2030,1121,55.22%
New Hampshire,Epsom,2927,1702,58.15%
New Hampshire,Franklin,4178,2281,54.60%
New Hampshire,Henniker,2711,1075,39.65%
New Hampshire,Hill,635,403,63.46%
New Hampshire,Hooksett,8585,4387,51.10%
New Hampshire,Hopkinton,4163,1400,33.63%
New Hampshire,Loudon,3725,2152,57.77%
New Hampshire,Newbury,1667,726,43.55%
New Hampshire,New London,3194,1059,33.16%
New Hampshire,Northfield,2619,1435,54.79%
New Hampshire,Pembroke,4325,2057,47.56%
New Hampshire,Pittsfield,2095,1230,58.71%
New Hampshire,Salisbury,925,517,55.89%
New Hampshire,Sutton,1348,574,42.58%
New Hampshire,Warner,1928,844,43.78%
New Hampshire,Webster,1241,669,53.91%
New Hampshire,Wilmot,956,366,38.28%
New Hampshire,Atkinson,5104,2795,54.76%
New Hampshire,Auburn,3930,2265,57.63%
New Hampshire,Brentwood,2914,1372,47.08%
New Hampshire,Candia,2789,1702,61.03%
New Hampshire,Chester,3469,1951,56.24%
New Hampshire,Danville,2816,1686,59.87%
New Hampshire,Deerfield,3221,1786,55.45%
New Hampshire,Derry,17894,9412,52.60%
New Hampshire,East Kingston,1692,889,52.54%
New Hampshire,Epping,4437,2311,52.08%
New Hampshire,Exeter,10336,3321,32.13%
New Hampshire,Fremont,2839,1635,57.59%
New Hampshire,Greenland,2919,1160,39.74%
New Hampshire,Hampstead,5897,3303,56.01%
New Hampshire,Hampton,11502,5212,45.31%
New Hampshire,Hampton Falls,1720,863,50.17%
New Hampshire,Kensington,1557,726,46.63%
New Hampshire,Kingston,4102,2311,56.34%
New Hampshire,Londonderry,15873,7905,49.80%
New Hampshire,New Castle,904,281,31.08%
New Hampshire,Newfields,1255,512,40.80%
New Hampshire,Newington,639,325,50.86%
New Hampshire,Newmarket,6004,1925,32.06%
New Hampshire,Newton,2994,1680,56.11%
New Hampshire,North Hampton,3484,1455,41.76%
New Hampshire,Northwood,2881,1483,51.48%
New Hampshire,Nottingham,3496,1641,46.94%
New Hampshire,Plaistow,4617,2504,54.23%
New Hampshire,Portsmouth,14701,3836,26.09%
New Hampshire,Raymond,6000,3517,58.62%
New Hampshire,Rye,4465,1620,36.28%
New Hampshire,Salem,17841,9969,55.88%
New Hampshire,Sandown,3975,2273,57.18%
New Hampshire,Seabrook,4639,2595,55.94%
New Hampshire,South Hampton,652,326,50.00%
New Hampshire,Stratham,5485,2115,38.56%
New Hampshire,Windham,9900,5196,52.48%
New Hampshire,Barrington,6004,2733,45.52%
New Hampshire,Dover,19229,6331,32.92%
New Hampshire,Durham,7810,1712,21.92%
New Hampshire,Farmington,3433,2000,58.26%
New Hampshire,Lee,2976,971,32.63%
New Hampshire,Madbury,1312,454,34.60%
New Hampshire,Middleton,1042,643,61.71%
New Hampshire,Milton,2539,1476,58.13%
New Hampshire,New Durham,1868,1109,59.37%
New Hampshire,Rochester,16907,8367,49.49%
New Hampshire,Rollinsford,1736,735,42.34%
New Hampshire,Somersworth,6071,2550,42.00%
New Hampshire,Strafford,2802,1408,50.25%
New Hampshire,Acworth,569,269,47.28%
New Hampshire,Charlestown,2481,1239,49.94%
New Hampshire,Claremont,5813,2788,47.96%
New Hampshire,Cornish,1109,408,36.79%
New Hampshire,Croydon,513,319,62.18%
New Hampshire,Goshen,481,284,59.04%
New Hampshire,Grantham,2447,747,30.53%
New Hampshire,Langdon,412,199,48.30%
New Hampshire,Lempster,726,440,60.61%
New Hampshire,Newport,3138,1773,56.50%
New Hampshire,Plainfield,1685,522,30.98%
New Hampshire,Springfield,889,436,49.04%
New Hampshire,Sunapee,2431,1086,44.67%
New Hampshire,Unity,892,531,59.53%
New Hampshire,Washington,797,467,58.59%
New Jersey,Atlantic County,140441,64438,45.88%
New Jersey,Bergen County,497460,204417,41.09%
New Jersey,Burlington County,262650,103345,39.35%
New Jersey,Camden County,265599,86207,32.46%
New Jersey,Cape May County,57933,33158,57.24%
New Jersey,Cumberland County,62575,28952,46.27%
New Jersey,Essex County,345311,75475,21.86%
New Jersey,Gloucester County,173453,83340,48.05%
New Jersey,Hudson County,250458,65698,26.23%
New Jersey,Hunterdon County,84673,43153,50.96%
New Jersey,Mercer County,177223,51641,29.14%
New Jersey,Middlesex County,375692,143467,38.19%
New Jersey,Monmouth County,378390,191808,50.69%
New Jersey,Morris County,300917,141134,46.90%
New Jersey,Ocean County,342746,217740,63.53%
New Jersey,Passaic County,224330,92009,41.02%
New Jersey,Salem County,34042,18827,55.31%
New Jersey,Somerset County,186891,71996,38.52%
New Jersey,Sussex County,88352,51698,58.51%
New Jersey,Union County,254041,80002,31.49%
New Jersey,Warren County,61057,34769,56.95%
New Mexico,Bernalillo County,317590,116135,36.57%
New Mexico,Catron County,2326,1698,73.00%
New Mexico,Chaves County,22443,15656,69.76%
New Mexico,Cibola County,8903,3975,44.65%
New Mexico,Colfax County,6016,3271,54.37%
New Mexico,Curry County,15101,10444,69.16%
New Mexico,De Baca County,901,656,72.81%
New Mexico,Do�a Ana County,82641,32802,39.69%
New Mexico,Eddy County,23222,17454,75.16%
